sample1,,sample2,,sample3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
606.9956665,0.005759048276,606.9956665,0.005865246523,606.9956665,0.005747086834,
605.9944458,0.005620672833,605.9944458,0.005639816169,605.9944458,0.005762038752,
604.9929199,0.005631031003,604.9929199,0.005638137925,604.9929199,0.005677056033,
603.9911499,0.005413926207,603.9911499,0.005629457533,603.9911499,0.005460636225,
602.9891968,0.005382133648,602.9891968,0.005500980653,602.9891968,0.005360800307,
601.9868774,0.005231538322,601.9868774,0.005120727699,601.9868774,0.005149200093,
600.984314,0.005068371072,600.984314,0.005078899208,600.984314,0.004956345074,
599.9815063,0.005029742606,599.9815063,0.005077982787,599.9815063,0.005172671285,
599.015564,0.004810687155,599.015564,0.004849086516,599.015564,0.004897410981,
598.0122681,0.004768548533,598.0122681,0.004851625767,598.0122681,0.004653957207,
597.008667,0.004712963011,597.008667,0.004788963124,597.008667,0.004792470019,
596.0048218,0.0045081391,596.0048218,0.004601683002,596.0048218,0.004672456533,
595.0006714,0.004534374457,595.0006714,0.004584102891,595.0006714,0.004399866331,
593.9963989,0.004264772404,593.9963989,0.004349034745,593.9963989,0.004296509549,
592.9916992,0.00413353648,592.9916992,0.004372749943,592.9916992,0.004181729164,
591.9868164,0.004192863591,591.9868164,0.004192497581,591.9868164,0.004087230191,
590.9816284,0.004046886228,590.9816284,0.004009367432,590.9816284,0.003864914645,
590.0134888,0.003859508317,590.0134888,0.003946983255,590.0134888,0.003846658859,
589.0078125,0.003762259381,589.0078125,0.003850184614,589.0078125,0.003866586136,
588.0018921,0.003875649069,588.0018921,0.003724190872,588.0018921,0.003802054562,
586.9956665,0.003541806247,586.9956665,0.003540553618,586.9956665,0.003537995974,
585.9891968,0.003499164479,585.9891968,0.003506862558,585.9891968,0.003328795079,
584.9825439,0.003444158705,584.9825439,0.003253441537,584.9825439,0.003270863788,
584.0128784,0.003094326705,584.0128784,0.003241027473,584.0128784,0.003154659411,
583.0056763,0.00305816764,583.0056763,0.003168244613,583.0056763,0.003174580866,
581.9981689,0.002897248138,581.9981689,0.002933159238,581.9981689,0.003087026998,
580.9904785,0.002859177301,580.9904785,0.002895189449,580.9904785,0.002801100258,
579.9824829,0.002524839016,579.9824829,0.002736857161,579.9824829,0.002647776622,
579.0115967,0.002409927314,579.0115967,0.002502395771,579.0115967,0.002519371221,
578.0031738,0.002095598727,578.0031738,0.00212707324,578.0031738,0.002171453787,
576.9944458,0.001943875919,576.9944458,0.002039548242,576.9944458,0.001938883564,
575.9854126,0.001789528877,575.9854126,0.001808296191,575.9854126,0.001800497994,
575.0136108,0.001829351764,575.0136108,0.001798860496,575.0136108,0.00175581756,
574.0041504,0.001455025747,574.0041504,0.001543758088,574.0041504,0.00148338906,
572.9943848,0.001404901152,572.9943848,0.001255158801,572.9943848,0.001233404153,
571.984436,0.001129552256,571.984436,0.001377192209,571.984436,0.001263674116,
571.0115967,0.001051050378,571.0115967,0.001062675496,571.0115967,0.0009911649395,
570.0011597,0.0007271498907,570.0011597,0.0008273783606,570.0011597,0.0006862093578,
568.9904175,0.0004528262652,568.9904175,0.0004264994932,568.9904175,0.0006517279544,
568.0169067,0.0003868309432,568.0169067,0.0003484872577,568.0169067,0.0003983087954,
567.0056763,0.0001435873128,567.0056763,9.920635785E-005,567.0056763,0.0001141980174,
565.9942017,0.0001337475114,565.9942017,-1.035438615E-007,565.9942017,5.850622983E-005,
564.9824829,-0.0002849627635,564.9824829,-0.000229806581,564.9824829,-0.0003616834292,
564.0080566,-0.0003915816487,564.0080566,-0.0003842883452,564.0080566,-0.0004349770024,
562.9957886,-0.0005356126931,562.9957886,-0.0005436273641,562.9957886,-0.000652767485,
561.9833984,-0.0007721646107,561.9833984,-0.0008021896356,561.9833984,-0.000730766973,
561.0081787,-0.0008750989218,561.0081787,-0.0009931952227,561.0081787,-0.0009369924664,
559.9953003,-0.0008961788262,559.9953003,-0.001026923768,559.9953003,-0.001131863217,
558.9820557,-0.001170021482,558.9820557,-0.001190467505,558.9820557,-0.001273997128,
558.0062256,-0.001254742383,558.0062256,-0.001230530674,558.0062256,-0.001339498325,
556.9924927,-0.001144101028,556.9924927,-0.001222580322,556.9924927,-0.001257271855,
556.0161743,-0.001240804093,556.0161743,-0.001372890314,556.0161743,-0.001260317513,
555.0020752,-0.001443846268,555.0020752,-0.00139564916,555.0020752,-0.00128984428,
553.9876709,-0.001493070042,553.9876709,-0.00152046571,553.9876709,-0.001686917967,
553.0106201,-0.00146789127,553.0106201,-0.001586703467,553.0106201,-0.001539657125,
551.9957886,-0.001592635526,551.9957886,-0.001595420996,551.9957886,-0.001725955633,
551.0183105,-0.001797472592,551.0183105,-0.001818610937,551.0183105,-0.001752769458,
550.0029907,-0.001827736152,550.0029907,-0.001838046941,550.0029907,-0.001758389757,
548.9873657,-0.00182649889,548.9873657,-0.001790666836,548.9873657,-0.001795564895,
548.0091553,-0.001657521352,548.0091553,-0.001773239579,548.0091553,-0.001741528395,
546.993103,-0.001509992639,546.993103,-0.001538780052,546.993103,-0.001558538177,
546.0145264,-0.001357665518,546.0145264,-0.001472792937,546.0145264,-0.001462576678,
544.9979858,-0.001367265009,544.9979858,-0.001319162548,544.9979858,-0.001369122881,
543.9812012,-0.001093082014,543.9812012,-0.001140073524,543.9812012,-0.001143687987,
543.0018921,-0.0008948871982,543.0018921,-0.0009757359512,543.0018921,-0.0009473243845,
541.9846191,-0.0006161664496,541.9846191,-0.0007326793275,541.9846191,-0.0006990829716,
541.0048218,-0.000203157324,541.0048218,-0.0002952585055,541.0048218,-0.0002143346937,
539.9872437,-5.477125524E-005,539.9872437,-9.84073049E-005,539.9872437,-0.00012501124,
539.006958,0.0001481706713,539.006958,7.673278742E-005,539.006958,0.0001385638025,
537.9888306,0.0003426582844,537.9888306,0.0002961587743,537.9888306,0.0003749388561,
537.0081177,0.0008056710358,537.0081177,0.0006851982325,537.0081177,0.0006906169583,
535.9894409,0.001198541839,535.9894409,0.001105961273,535.9894409,0.001055902801,
535.0083618,0.001331075095,535.0083618,0.001398798195,535.0083618,0.001323051867,
533.9892578,0.001734843361,533.9892578,0.001691598911,533.9892578,0.001649372047,
533.0076904,0.002247088123,533.0076904,0.002233713865,533.0076904,0.002118749078,
531.9882202,0.00246381294,531.9882202,0.002477011876,531.9882202,0.002513955813,
531.0061646,0.002845549723,531.0061646,0.002786484547,531.0061646,0.002710573841,
529.986145,0.003240636084,529.986145,0.003181360662,529.986145,0.003209367627,
529.0036621,0.003913286608,529.0036621,0.003860004479,529.0036621,0.003838824108,
527.9832764,0.004473457579,527.9832764,0.004327464383,527.9832764,0.004404861014,
527.0003662,0.004637447651,527.0003662,0.004546877928,527.0003662,0.004476020578,
526.0172729,0.004879583139,526.0172729,0.004811838735,526.0172729,0.004790349863,
524.9961548,0.005199890118,524.9961548,0.005156692117,524.9961548,0.005187446252,
524.0125732,0.005495055579,524.0125732,0.005453401245,524.0125732,0.005414423998,
522.9909668,0.005791497882,522.9909668,0.005666303448,522.9909668,0.005690012593,
522.0070801,0.005961130373,522.0070801,0.005882642698,522.0070801,0.005865718704,
520.9849854,0.006250616629,520.9849854,0.006215874106,520.9849854,0.006182998884,
520.0006104,0.006502560806,520.0006104,0.006592803635,520.0006104,0.00649772631,
519.0159912,0.006858542562,519.0159912,0.006821490359,519.0159912,0.006751680747,
517.9932861,0.007225660607,517.9932861,0.007333876565,517.9932861,0.007158864755,
517.0082397,0.007376027759,517.0082397,0.007247848902,517.0082397,0.007280909922,
515.9851074,0.007616007235,515.9851074,0.007557237986,515.9851074,0.007444015238,
514.9996338,0.00778292818,514.9996338,0.007713411469,514.9996338,0.007818639278,
514.0139771,0.007891125046,514.0139771,0.007884113118,514.0139771,0.007769988384,
512.9901123,0.008028722368,512.9901123,0.008052350022,512.9901123,0.007958375849,
512.0039673,0.008307453245,512.0039673,0.008229041472,512.0039673,0.008205747232,
511.0176392,0.008369939402,511.0176392,0.00835239049,511.0176392,0.008374953642,
509.9931946,0.008426127024,509.9931946,0.008503913879,509.9931946,0.008476302959,
509.0064392,0.008539604954,509.0064392,0.008555788547,509.0064392,0.008606587537,
507.9815369,0.008659821004,507.9815369,0.008637586609,507.9815369,0.008623670787,
506.9943542,0.008738337085,506.9943542,0.008583960123,506.9943542,0.008627763949,
506.007019,0.008732182905,506.007019,0.008678227663,506.007019,0.008659160696,
504.9814148,0.008798217401,504.9814148,0.008629850112,504.9814148,0.008663016371,
503.9936523,0.008725474589,503.9936523,0.008621637709,503.9936523,0.008733979426,
503.0055847,0.008846455254,503.0055847,0.008784878068,503.0055847,0.008750989102,
502.0173645,0.008772674017,502.0173645,0.008731205948,502.0173645,0.008781391196,
500.9910278,0.008726134896,500.9910278,0.008757592179,500.9910278,0.008666000329,
500.0023499,0.008550904691,500.0023499,0.008541954681,500.0023499,0.008569306694,
499.0135498,0.008416730911,499.0135498,0.008555578068,499.0135498,0.008418023586,
497.9864807,0.008133552037,497.9864807,0.008190104738,497.9864807,0.008278218098,
496.9972534,0.008105093613,496.9972534,0.008103142492,496.9972534,0.008067803457,
496.0078125,0.0079363361,496.0078125,0.007910236716,496.0078125,0.00797031913,
495.018219,0.007724373136,495.018219,0.007789331954,495.018219,0.007679843344,
493.9902039,0.007618588861,493.9902039,0.007398434449,493.9902039,0.007432376035,
493.0001526,0.007291571237,493.0001526,0.007322371937,493.0001526,0.007324688602,
492.0098572,0.007311156951,492.0098572,0.007273276336,492.0098572,0.007332086097,
490.9813843,0.007341800723,490.9813843,0.007273249794,490.9813843,0.007276935037,
489.9907227,0.006973164622,489.9907227,0.00687589962,489.9907227,0.006903462112,
488.9998474,0.006796142086,488.9998474,0.00676937541,488.9998474,0.006809289567,
488.0087585,0.006873559207,488.0087585,0.006842895877,488.0087585,0.006837899331,
487.0175476,0.006929132156,487.0175476,0.006926370785,487.0175476,0.00685875304,
485.9879456,0.00673162099,485.9879456,0.006669422146,485.9879456,0.0066538346,
484.9963074,0.006535118911,484.9963074,0.006540295668,484.9963074,0.006437531672,
484.0044556,0.006897517946,484.0044556,0.006871166173,484.0044556,0.006870797835,
483.0123596,0.007136522792,483.0123596,0.007094131783,483.0123596,0.007075766101,
481.9819946,0.007022752427,481.9819946,0.007000996266,481.9819946,0.006969219074,
480.989502,0.007098868024,480.989502,0.007066557184,480.989502,0.00709460536,
479.9967957,0.007387007121,479.9967957,0.007229634561,479.9967957,0.007225739304,
479.0039368,0.007539458573,479.0039368,0.00762491161,479.0039368,0.007504560519,
